City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
177,Luau,AO,-10.7073,22.2247,63.05,99,100,3.09,overcast clouds
178,Jennings,US,38.7192,-90.2604,20.19,90,100,4.0,light snow
179,Urubicha,BO,-15.3833,-62.95,74.93,93,55,3.15,light rain
180,Salta,AR,-24.7859,-65.4117,75.49,89,36,1.79,scattered clouds
181,Tecoanapa,MX,16.5167,-98.75,81.27,58,0,8.95,clear sky
182,Olafsvik,IS,64.8945,-23.7142,26.19,78,94,29.1,overcast clouds
183,Kathmandu,NP,27.7167,85.3167,43.02,100,100,6.91,moderate rain
184,Saint George,US,37.1041,-113.5841,48.79,20,0,16.11,clear sky
185,Kabinda,CD,-6.1333,24.4833,64.49,98,100,2.98,overcast clouds
186,Arman,RU,59.7,150.1667,4.05,74,34,10.85,scattered clouds
187,San Angelo,US,31.4638,-100.437,25.02,68,75,4.0,broken clouds
188,Sorland,NO,67.667,12.6934,27.3,67,100,36.64,overcast clouds
189,Jefferson City,US,38.5767,-92.1735,19.31,64,100,11.99,overcast clouds
190,Sebezh,RU,56.2955,28.4654,7.41,99,83,1.39,broken clouds
191,Deyang,CN,31.1302,104.382,40.55,89,99,2.01,overcast clouds
192,Hofn,IS,64.2539,-15.2082,29.07,58,99,23.38,overcast clouds
193,Kavieng,PG,-2.5744,150.7967,81.54,76,96,7.29,light rain
194,Hami,CN,42.8,93.45,22.5,37,22,2.37,few clouds
195,Severo-Kurilsk,RU,50.6789,156.125,30.94,83,100,9.53,overcast clouds
196,Vung Tau,VN,10.346,107.0843,76.05,85,20,14.52,few clouds
197,Redmond,US,47.674,-122.1215,50.34,86,100,3.0,overcast clouds
198,Mokokchung,IN,26.3333,94.5333,42.04,88,44,3.65,scattered clouds
199,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.58,93,100,2.46,overcast clouds
200,Alpena,US,45.0617,-83.4327,13.17,60,0,1.99,clear sky
201,Palma Di Montechiaro,IT,37.1926,13.765,46.74,48,0,5.39,clear sky
202,Shubarshi,KZ,48.5872,57.1869,20.32,83,100,13.22,overcast clouds
203,Plettenberg Bay,ZA,-34.0527,23.3716,65.08,80,100,6.98,light rain
204,Namibe,AO,-15.1961,12.1522,72.7,74,1,7.05,clear sky
205,Mount Isa,AU,-20.7333,139.5,74.97,41,75,13.8,broken clouds
206,Todos Santos,MX,23.45,-110.2167,73.44,45,47,2.66,scattered clouds
207,Luba,GQ,3.4568,8.5547,80.73,78,13,8.39,few clouds
208,Shelburne,CA,44.0787,-80.2041,12.18,83,100,13.51,overcast clouds
209,Jumla,NP,29.2747,82.1838,34.34,97,100,5.7,snow
210,Polunochnoye,RU,60.8697,60.4153,5.11,99,100,3.04,overcast clouds
211,Parrita,CR,9.5201,-84.3225,87.57,68,4,4.85,clear sky
212,Esperance,AU,-33.8667,121.9,66.04,71,0,17.0,clear sky
213,Necochea,AR,-38.5473,-58.7368,71.04,82,100,7.96,overcast clouds
214,Wanning,CN,18.8003,110.3967,63.21,89,100,9.06,overcast clouds
215,Sinfra,CI,6.6167,-5.9167,71.17,40,1,3.33,clear sky
216,Kamenka,RU,51.3223,42.7678,31.75,100,100,5.01,snow
217,Zelenoborskiy,RU,66.845,32.3622,-1.14,100,98,1.95,overcast clouds
218,Concarneau,FR,47.875,-3.9225,48.49,80,87,7.54,overcast clouds
219,Muravlenko,RU,63.7898,74.523,17.11,96,100,8.86,light snow
220,Biak,ID,-0.9131,122.8766,77.56,74,100,3.6,overcast clouds
221,Abha,SA,18.2164,42.5053,53.85,88,20,4.61,few clouds
222,Lavrentiya,RU,65.5833,-171.0,0.55,59,0,22.06,clear sky
223,Quatre Cocos,MU,-20.2078,57.7625,80.1,90,100,22.84,moderate rain
224,Rabat,MA,33.9911,-6.8401,56.16,100,75,0.0,broken clouds
225,Prigorodnyy,RU,51.7661,55.2665,23.2,80,0,11.18,clear sky
226,Ahipara,NZ,-35.1667,173.1667,75.99,74,79,14.88,broken clouds
227,Iranshahr,IR,27.2025,60.6848,55.51,30,0,2.17,clear sky
228,Saskylakh,RU,71.9167,114.0833,-16.73,97,99,1.1,overcast clouds
229,Ayagoz,KZ,47.9714,80.4392,-11.33,97,83,5.68,broken clouds
230,Lorengau,PG,-2.0226,147.2712,80.55,80,100,4.16,overcast clouds
231,Lianzhou,CN,24.7811,112.3825,37.54,95,59,3.85,broken clouds
232,Dzaoudzi,YT,-12.7887,45.2699,82.29,78,0,11.5,clear sky
233,Katsuura,JP,35.1333,140.3,43.2,62,99,9.8,overcast clouds
234,Shahrud,IR,36.4182,54.9763,38.12,55,100,4.43,overcast clouds
235,Tamale,GH,9.4008,-0.8393,78.49,10,3,6.53,clear sky
236,Celina,US,40.5489,-84.5702,21.65,97,100,19.04,snow
237,Beitbridge,ZW,-22.2167,30.0,82.18,41,1,3.15,clear sky
238,Ituporanga,BR,-27.4144,-49.6025,72.1,91,36,4.18,scattered clouds
239,Geraldton,AU,-28.7667,114.6,84.13,24,0,8.05,clear sky
240,Alofi,NU,-19.0595,-169.9187,81.45,76,100,16.75,light rain
241,Almaznyy,RU,48.0448,40.045,35.74,99,100,6.46,moderate rain
242,Melfi,IT,40.9965,15.6514,37.4,57,88,6.85,overcast clouds
243,Tairua,NZ,-37.0167,175.85,74.08,67,35,10.63,scattered clouds
244,Constantine,DZ,36.365,6.6147,40.41,60,0,5.75,clear sky
245,Port Hedland,AU,-20.3167,118.5667,80.65,78,55,6.91,broken clouds
246,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.55,83,4,2.91,clear sky
247,Torres,BR,-29.3353,-49.7269,74.88,89,74,13.04,broken clouds
248,Asandh,IN,29.5167,76.6,50.85,97,100,5.53,overcast clouds
249,Vanimo,PG,-2.6741,141.3028,79.14,80,82,1.03,broken clouds
250,Kahului,US,20.8947,-156.47,81.97,60,2,7.0,clear sky
251,Tevaitoa,PF,-16.7833,-151.5,80.94,71,19,16.28,few clouds
252,Amuntai,ID,-2.4177,115.2494,73.36,96,100,0.63,overcast clouds
253,Port Hardy,CA,50.6996,-127.4199,43.75,93,100,13.71,light rain
254,La Asuncion,VE,11.0333,-63.8628,76.89,80,2,15.97,clear sky
255,Niksar,TR,40.5917,36.9517,40.6,89,100,5.17,overcast clouds
256,Grand Gaube,MU,-20.0064,57.6608,80.38,84,100,11.99,overcast clouds
257,Hervey Bay,AU,-25.2986,152.8535,77.04,83,100,21.5,light rain
258,Saint-Augustin,CA,51.226,-58.6502,20.12,78,100,19.37,overcast clouds
259,Kodinsk,RU,58.6881,99.1844,4.87,97,99,3.91,overcast clouds
260,Florianopolis,BR,-27.6146,-48.5012,76.23,85,40,4.0,scattered clouds
261,Los Algarrobos,PA,8.5,-82.4333,82.81,70,40,6.91,scattered clouds
262,Flinders,AU,-34.5833,150.8552,68.18,84,83,10.0,broken clouds
263,Wenling,CN,28.3669,121.36,41.92,92,100,11.3,overcast clouds
264,Moose Factory,CA,51.2585,-80.6094,-17.73,95,87,3.11,overcast clouds
