City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Genova,IT,2022-01-31 05:40:47,44.5,9.0667,47.05,78,80,3.36
255,Itoman,JP,2022-01-31 05:38:44,26.1247,127.6694,65.17,54,75,18.41
256,Ust-Tarka,RU,2022-01-31 05:40:47,55.5672,75.705,6.85,95,90,8.97
257,Lorengau,PG,2022-01-31 05:40:47,-2.0226,147.2712,81.28,81,100,15.93
258,Victoria Point,AU,2022-01-31 05:40:48,-27.5833,153.3,91.62,68,29,4.0
259,Qaqortoq,GL,2022-01-31 05:40:48,60.7167,-46.0333,22.78,69,100,17.38
260,Tommot,RU,2022-01-31 05:40:49,58.9564,126.2925,-1.77,91,100,7.36
261,Shakawe,BW,2022-01-31 05:40:49,-18.3667,21.85,65.46,97,100,7.29
262,Saint Andrews,US,2022-01-31 05:40:49,34.0454,-81.1293,39.45,69,0,4.61
263,Acapulco,MX,2022-01-31 05:40:50,16.8634,-99.8901,78.62,78,20,0.0
264,Esperance,AU,2022-01-31 05:40:50,-33.8667,121.9,64.24,76,79,24.61
265,Petrov Val,RU,2022-01-31 05:40:50,50.1434,45.2096,32.5,98,100,17.85
266,Balatonfenyves,HU,2022-01-31 05:40:51,46.7154,17.4922,35.91,71,42,4.94
267,Skibbereen,IE,2022-01-31 05:40:51,51.55,-9.2667,44.4,73,91,17.47
268,Tselina,RU,2022-01-31 05:40:51,46.5338,41.0328,33.91,94,100,17.22
269,Manutuke,NZ,2022-01-31 05:40:52,-38.6833,177.9167,69.98,72,25,5.79
270,Ribeirao Bonito,BR,2022-01-31 05:41:52,-22.0667,-48.1761,67.78,98,94,4.12
271,Kaduqli,SD,2022-01-31 05:41:52,11.0167,29.7167,66.27,15,0,14.76
272,Emporia,US,2022-01-31 05:41:53,38.4039,-96.1817,34.0,51,0,6.91
273,Khorinsk,RU,2022-01-31 05:41:53,52.1657,109.7726,-2.06,85,86,2.46
274,Oktyabrskiy,RU,2022-01-31 05:41:53,54.4815,53.471,15.89,97,85,5.59
275,Nishihara,JP,2022-01-31 05:41:54,26.1842,127.7558,64.45,56,75,10.36
276,Souillac,MU,2022-01-31 05:41:54,-20.5167,57.5167,86.36,79,75,11.5
277,Salalah,OM,2022-01-31 05:41:54,17.0151,54.0924,73.49,53,0,4.61
278,Pisco,PE,2022-01-31 05:41:55,-13.7,-76.2167,69.85,83,0,10.36
279,Saldanha,ZA,2022-01-31 05:41:55,-33.0117,17.9442,64.45,67,99,5.01
280,Uusikaupunki,FI,2022-01-31 05:39:01,60.8004,21.4084,21.72,92,89,12.91
281,Berlevag,NO,2022-01-31 05:38:41,70.8578,29.0864,28.4,65,86,1.99
